id,logtime,campaignid
"3,89418245764142E+018",2018-02-22 00:03:02.587,1221633
"5,33679698362586E+018",2018-02-22 00:03:03.055,1188683
"6,47365999838927E+018",2018-02-22 00:03:05.655,1232120
"2,34553868126634E+018",2018-02-22 00:03:16.786,1232120
"4,28368942105868E+018",2018-02-22 00:03:16.795,1232120
"4,31721642181382E+017",2018-02-22 00:03:20.260,1199166
"6,24523530953026E+018",2018-02-22 00:03:34.498,1199166
"2,89069467805217E+017",2018-02-22 00:03:34.876,1020893
"7,2706858648098E+018",2018-02-22 00:03:35.335,1020893
"3,50883702711384E+018",2018-02-22 00:03:35.924,1221633
"6,76267098767639E+018",2018-02-22 00:03:36.552,1232120
"5,20790260490941E+018",2018-02-22 00:03:36.683,1221633
"3,16464268060862E+018",2018-02-22 00:03:41.291,1221633
"8,98734346399178E+018",2018-02-22 00:03:43.439,1221633
"4,64470553056349E+018",2018-02-22 00:03:47.937,1188683
"3,2652978248169E+018",2018-02-22 00:03:49.236,1020893
"3,2652978248169E+018",2018-02-22 00:03:49.881,1020893
"1,9458773076936E+018",2018-02-22 00:03:50.517,1020893
"3,78455073377038E+018",2018-02-22 00:03:52.317,1020893
"2,97530821489582E+018",2018-02-22 00:03:57.241,1020893
"6,84584355640308E+018",2018-02-22 00:03:58.134,1020893
"3,88037979685956E+018",2018-02-22 00:04:08.824,1188683
"8,84403656438901E+018",2018-02-22 00:04:11.772,1221633
"8,86186815986316E+018",2018-02-22 00:04:16.360,1049355
"2,1876484979793E+018",2018-02-22 00:04:17.879,1232120
"6,51436664771552E+018",2018-02-22 00:04:19.446,1188683
"6,11324716484294E+018",2018-02-22 00:04:20.199,1188683
"4,38721039983436E+018",2018-02-22 00:04:22.838,1188683
"4,84151890734183E+018",2018-02-22 00:04:25.687,1049355
"7,58253344348146E+018",2018-02-22 00:04:25.760,1049355
"5,98069648586303E+018",2018-02-22 00:04:42.115,1020893
"9,19373079607604E+018",2018-02-22 00:04:42.685,1188683
"7,64051351055128E+018",2018-02-22 00:04:50.227,1232120
"2,43666324819774E+017",2018-02-22 00:04:57.274,1020893
"6,69021845674792E+018",2018-02-22 00:05:00.556,1020893
"1,4032386387629E+018",2018-02-22 00:05:00.896,1020893
"6,64205396826446E+017",2018-02-22 00:05:01.812,1221633
"6,73456975897305E+018",2018-02-22 00:05:02.089,1020893
"1,36168626353634E+018",2018-02-22 00:05:04.259,1199166
"6,94355061427294E+017",2018-02-22 00:05:04.359,1049355
"4,11510397126378E+018",2018-02-22 00:05:04.792,1020893
"1,57559354155302E+018",2018-02-22 00:05:06.116,1199166
"4,97050707091291E+018",2018-02-22 00:05:06.319,1199166
"3,61246673077315E+018",2018-02-22 00:05:06.741,1049355
"1,75604591830715E+017",2018-02-22 00:05:10.805,1221633
"7,71441126498685E+018",2018-02-22 00:05:17.861,1188683
"9,09792651585528E+017",2018-02-22 00:05:21.240,1232120
"3,41324039021049E+018",2018-02-22 00:05:24.186,1221633
"1,33179444735972E+018",2018-02-22 00:05:25.920,1199166
"8,24260082733721E+018",2018-02-22 00:05:27.478,1232120
"2,54286187569948E+018",2018-02-22 00:05:27.977,1221633
"4,07609227883434E+018",2018-02-22 00:05:30.818,1199166
"6,22237634524978E+018",2018-02-22 00:05:30.865,1020893
"9,1040416158282E+018",2018-02-22 00:05:31.164,1049355
"7,45633681935327E+018",2018-02-22 00:05:33.756,1232120
"8,06560010588005E+018",2018-02-22 00:05:36.282,1188683
"4,11520581172412E+018",2018-02-22 00:05:40.379,1199166
"9,19977491229511E+017",2018-02-22 00:05:43.525,1221633
"9,06060365864331E+018",2018-02-22 00:05:46.093,1221633
"4,5809869632461E+018",2018-02-22 00:05:51.587,1221633
"6,48131909909378E+018",2018-02-22 00:05:59.382,1188683
"7,67167928536259E+018",2018-02-22 00:06:00.255,1188683
"9,13335076076724E+017",2018-02-22 00:06:01.420,1049355
"2,29798899853842E+017",2018-02-22 00:06:05.221,1188683
"1,22986257201303E+018",2018-02-22 00:06:07.283,1049355
"7,46270226019179E+018",2018-02-22 00:06:07.293,1049355
"4,68247513811007E+018",2018-02-22 00:06:09.109,1188683
"1,09861432684629E+018",2018-02-22 00:06:15.398,1049355
"8,79026259786109E+018",2018-02-22 00:06:21.002,1049355
"4,60566920112035E+018",2018-02-22 00:06:24.109,1049355
"6,28113454670133E+018",2018-02-22 00:06:33.953,1188683
"4,08973747501377E+018",2018-02-22 00:06:34.133,1199166
"6,11603724646804E+018",2018-02-22 00:06:34.329,1020893
"6,82912397494479E+018",2018-02-22 00:06:36.625,1188683
"4,95954204890478E+018",2018-02-22 00:06:39.255,1020893
"7,14113725958706E+018",2018-02-22 00:06:41.129,1232120
"4,55747246485292E+018",2018-02-22 00:06:41.645,1020893
"3,1862051765759E+018",2018-02-22 00:06:45.292,1188683
"1,66867281858302E+018",2018-02-22 00:06:45.955,1232120
"8,58695701122479E+018",2018-02-22 00:06:56.131,1221633
"2,71122043454116E+018",2018-02-22 00:06:56.617,1020893
"6,55711559734488E+018",2018-02-22 00:06:57.773,1020893
"6,94486333326368E+018",2018-02-22 00:07:01.783,1049355
"2,91751470666393E+018",2018-02-22 00:07:02.308,1221633
"7,05665677926038E+018",2018-02-22 00:07:08.534,1188683
"1,46130799910041E+018",2018-02-22 00:07:14.950,1188683
"9,09840898415765E+018",2018-02-22 00:07:15.930,1232120
"5,34507215597022E+018",2018-02-22 00:07:17.113,1221633
"5,86148345074992E+018",2018-02-22 00:07:17.517,1221633
"4,1311225706352E+018",2018-02-22 00:07:18.111,1188683
"2,02289643519279E+018",2018-02-22 00:07:31.123,1188683
"1,75463054828017E+018",2018-02-22 00:07:31.564,1188683
"8,85364594177814E+018",2018-02-22 00:07:39.803,1188683
"1,72586258783948E+018",2018-02-22 00:07:40.430,1232120
"5,5169567570399E+018",2018-02-22 00:07:46.603,1221633
"5,22506594662144E+018",2018-02-22 00:07:50.823,1199166
"1,4776863624346E+018",2018-02-22 00:07:57.489,1049355
"7,84999497762289E+018",2018-02-22 00:07:58.853,1049355
"5,70727643931574E+018",2018-02-22 00:08:00.082,1199166
"6,7766734645427E+018",2018-02-22 00:08:03.431,1188683
"1,28408944197512E+017",2018-02-22 00:08:03.993,1020893
